dates,prices,mas,signals,returns
2023-09-22 16:00:00,26631.02,26316.309808974725,-1.0,99.97715337974444
2023-09-22 16:01:00,26644.97,26316.34954136727,-1.0,99.97715337974444
2023-09-22 16:02:00,26641.0,26316.389317213765,-1.0,99.97715337974444
2023-09-22 16:03:00,26630.35,26316.42863442755,-1.0,99.97715337974444
2023-09-22 16:04:00,26619.54,26316.467164307513,-1.0,99.97715337974444
2023-09-22 16:05:00,26626.74,26316.50600395816,-1.0,99.97715337974444
2023-09-22 16:06:00,26627.23,26316.545029901456,-1.0,99.97715337974444
2023-09-22 16:07:00,26621.49,26316.583809318916,-1.0,99.97715337974444
2023-09-22 16:08:00,26617.81,26316.622578410686,-1.0,99.97715337974444
2023-09-22 16:09:00,26621.5,26316.66178763497,-1.0,99.97715337974444
2023-09-22 16:10:00,26621.44,26316.701065697183,-1.0,99.97715337974444
2023-09-22 16:11:00,26616.15,26316.740044314403,-1.0,99.97715337974444
2023-09-22 16:12:00,26614.03,26316.779275480778,-1.0,99.97715337974444
2023-09-22 16:13:00,26624.88,26316.818973454363,-1.0,99.97715337974444
2023-09-22 16:14:00,26620.89,26316.858453297755,-1.0,99.97715337974444
2023-09-22 16:15:00,26626.08,26316.89824033041,-1.0,99.97715337974444
2023-09-22 16:16:00,26627.06,26316.93814524802,-1.0,99.97715337974444
2023-09-22 16:17:00,26633.78,26316.977791162917,-1.0,99.97715337974444
2023-09-22 16:18:00,26636.5,26317.017699522425,-1.0,99.97715337974444
2023-09-22 16:19:00,26642.7,26317.057874628907,-1.0,99.97715337974444
2023-09-22 16:20:00,26633.86,26317.097132039744,-1.0,99.97715337974444
2023-09-22 16:21:00,26626.58,26317.135928666685,-1.0,99.97715337974444
2023-09-22 16:22:00,26629.7,26317.1753413931,-1.0,99.97715337974444
2023-09-22 16:23:00,26643.11,26317.21552854622,-1.0,99.97715337974444
2023-09-22 16:24:00,26639.45,26317.255835735483,-1.0,99.97715337974444
2023-09-22 16:25:00,26622.69,26317.295743664756,-1.0,99.97715337974444
2023-09-22 16:26:00,26623.08,26317.33566880351,-1.0,99.97715337974444
2023-09-22 16:27:00,26623.58,26317.37561545411,-1.0,99.97715337974444
2023-09-22 16:28:00,26627.16,26317.413624317,-1.0,99.97715337974444
2023-09-22 16:29:00,26624.39,26317.452792238524,-1.0,99.97715337974444
2023-09-22 16:30:00,26630.52,26317.492942821496,-1.0,99.97715337974444
2023-09-22 16:31:00,26636.33,26317.53337305856,-1.0,99.97715337974444
2023-09-22 16:32:00,26637.34,26317.57384674956,-1.0,99.97715337974444
2023-09-22 16:33:00,26630.01,26317.614005507035,-1.0,99.97715337974444
2023-09-22 16:34:00,26620.79,26317.65383255174,-1.0,99.97715337974444
2023-09-22 16:35:00,26622.13,26317.69401712344,-1.0,99.97715337974444
2023-09-22 16:36:00,26612.31,26317.733707352752,-1.0,99.97715337974444
2023-09-22 16:37:00,26612.31,26317.772820203936,-1.0,99.97715337974444
2023-09-22 16:38:00,26619.14,26317.812372757395,-1.0,99.97715337974444
2023-09-22 16:39:00,26610.48,26317.85140730543,-1.0,99.97715337974444
2023-09-22 16:40:00,26600.77,26317.890333433726,-1.0,99.97715337974444
2023-09-22 16:41:00,26614.99,26317.929914813067,-1.0,99.97715337974444
2023-09-22 16:42:00,26610.11,26317.969286236723,-1.0,99.97715337974444
2023-09-22 16:43:00,26600.42,26318.008535903286,-1.0,99.97715337974444
2023-09-22 16:44:00,26607.16,26318.04749214818,-1.0,99.97715337974444
2023-09-22 16:45:00,26596.67,26318.0859321086,-1.0,99.97715337974444
2023-09-22 16:46:00,26590.01,26318.123516757743,-1.0,99.97715337974444
2023-09-22 16:47:00,26583.55,26318.160556726765,-1.0,99.97715337974444
2023-09-22 16:48:00,26586.36,26318.198296691487,-1.0,99.97715337974444
2023-09-22 16:49:00,26587.21,26318.235945015713,-1.0,99.97715337974444
2023-09-22 16:50:00,26580.01,26318.273207417296,-1.0,99.97715337974444
2023-09-22 16:51:00,26585.8,26318.311097534748,-1.0,99.97715337974444
2023-09-22 16:52:00,26596.64,26318.34967431055,-1.0,99.97715337974444
2023-09-22 16:53:00,26600.0,26318.38853117068,-1.0,99.97715337974444
2023-09-22 16:54:00,26596.76,26318.426624790263,-1.0,99.97715337974444
2023-09-22 16:55:00,26590.99,26318.464742503125,-1.0,99.97715337974444
2023-09-22 16:56:00,26598.07,26318.503449640753,-1.0,99.97715337974444
2023-09-22 16:57:00,26602.15,26318.54232672203,-1.0,99.97715337974444
2023-09-22 16:58:00,26594.98,26318.580998149984,-1.0,99.97715337974444
2023-09-22 16:59:00,26597.89,26318.618582368894,-1.0,99.97715337974444
2023-09-22 17:00:00,26597.88,26318.655720431965,-1.0,99.97715337974444
2023-09-22 17:01:00,26604.34,26318.69313642818,-1.0,99.97715337974444
2023-09-22 17:02:00,26614.93,26318.73100675473,-1.0,99.97715337974444
2023-09-22 17:03:00,26620.7,26318.768904186218,-1.0,99.97715337974444
2023-09-22 17:04:00,26622.78,26318.806454416394,-1.0,99.97715337974444
2023-09-22 17:05:00,26612.79,26318.843917308444,-1.0,99.97715337974444
2023-09-22 17:06:00,26602.4,26318.8803876436,-1.0,99.97715337974444
2023-09-22 17:07:00,26600.92,26318.916567138498,-1.0,99.97715337974444
2023-09-22 17:08:00,26598.93,26318.952826227254,-1.0,99.97715337974444
2023-09-22 17:09:00,26598.93,26318.99029901476,-1.0,99.97715337974444
2023-09-22 17:10:00,26591.64,26319.027720604056,-1.0,99.97715337974444
2023-09-22 17:11:00,26602.97,26319.066036225966,-1.0,99.97715337974444
2023-09-22 17:12:00,26604.97,26319.104816934134,-1.0,99.97715337974444
2023-09-22 17:13:00,26600.0,26319.142388676166,-1.0,99.97715337974444
2023-09-22 17:14:00,26600.0,26319.179201910254,-1.0,99.97715337974444
2023-09-22 17:15:00,26605.02,26319.21578926989,-1.0,99.97715337974444
2023-09-22 17:16:00,26609.78,26319.252520328704,-1.0,99.97715337974444
